id,rle_mask
29878a94ca,56 46 154 49 256 48 358 47 458 48 557 50 656 52 756 53 857 53 958 53 1013 4 1059 53 1114 5 1160 53 1215 7 1260 54 1315 9 1361 65 1462 66 1563 67 1665 67 1765 71 1847 5 1866 72 1946 7 1966 74 2047 9 2067 76 2148 12 2166 259 2426 100 2528 99 2630 98 2731 98 2833 97 2934 97 3034 98 3135 98 3235 99 3335 4137 7473 1 7475 96 7576 95 7677 94 7778 94 7879 94 7980 94 8081 94 8182 94 8283 94 8384 93 8485 93 8586 92 8687 91 8788 90 8889 89 8990 88 9091 88 9195 86 9297 85 9399 84 9501 83 9604 81 9707 79 9809 78 9911 76 10013 76 10114 76
1aa56af36c,
131332f84f,
30bb570ce5,
1dec8a70c7,53 49 153 50 253 51 354 51 454 52 551 56 647 61 745 64 843 67 938 73 1037 75 1137 76 1237 77 1337 78 1437 79 1537 80 1637 81 1738 81 1839 81 1940 81 2041 81 2142 81 2243 81 2344 81 2446 80 2548 79 2649 79 2751 78 2853 77 2954 77 3055 77 3157 76 3258 76 3360 75 3462 74 3563 74 3665 73 3767 72 3869 71 3972 69 4074 68 4177 66 4279 65 4382 63 4484 62 4586 61 4689 59 4791 58 4893 57 4995 56 5096 56 5198 55 5300 54 5401 54 5503 53 5605 52 5707 51 5809 50 5911 49 6013 48 6115 47 6217 46 6320 44 6422 43 6524 42 6625 42 6727 41 6828 41 6930 40 7031 40 7132 40 7234 39 7335 39 7436 39 7537 39 7638 39 7740 38 7842 37 7943 37 8045 36 8146 36 8248 35 8349 35 8451 34 8552 34 8654 33 8756 32 8858 31 8959 31 9061 30 9162 30 9263 30 9364 30 9465 30 9566 30 9667 30 9768 30 9869 30 9970 30 10072 29 10173 29
f64c261570,12 90 113 90 213 91 314 91 414 92 513 94 613 95 713 96 813 97 912 99 1012 9190
f42f9a65c3,1 8 102 9 203 9 304 8 405 8 506 9 607 11 708 11 809 11 910 10 1012 9 1113 8 1214 1
da85c5ae62,7109 4 7208 1 7211 3 7308 3 7312 7 7409 11 7509 12 7610 12 7706 19 7806 20 7905 22 8006 22 8107 22 8207 24 8307 25 8409 26 8510 29 8611 31 8713 31 8819 26 8921 27 9025 25 9128 24 9230 25 9332 24 9434 24 9536 22 9639 19 9743 17 9846 16 9948 15 10050 11 10151 10
00f342f248,
eddd90bd4a,
69d9edeccb,
765964a84c,
b44168da26,1 8989 8991 100 9095 97 9197 96 9300 94 9402 93 9505 91 9608 89 9711 87 9813 86 9914 86 10016 85 10117 85
d884aa82ab,
f6a63121f1,3323 5 3419 2 3423 6 3519 12 3534 1 3619 13 3635 1 3719 18 3818 21 3916 24 4014 27 4113 29 4213 30 4314 30 4414 31 4514 32 4615 32 4715 33 4816 33 4916 34 5016 35 5116 36 5216 37 5315 39 5415 40 5515 41 5557 2 5616 48 5716 51 5816 54 5916 58 6017 62 6117 68 6217 71 6317 76 6416 83 6515 87 6613 94 6709 3493
d835d3e6f3,8673 1 8772 9 8872 11 8973 11 9074 12 9174 13 9274 15 9375 15 9476 15 9578 15 9680 16 9781 17 9883 16 9985 15 10086 15 10188 14
3df9f3edc2,1 84 102 85 203 85 304 86 405 87 506 88 607 89 708 90 809 91 910 91 1011 92 1112 93 1213 93 1314 94 1415 95 1516 95 1617 96 1718 96 1819 97 1920 99 2021 202 2224 3 2229 95 2325 1 2333 92 2436 90 2539 88 2642 86 2746 83 2849 81 2952 79 3055 77 3157 76 3260 74 3362 73 3465 71 3567 70 3670 68 3773 66 3878 6 3889 51 3997 43 4100 39 4202 35 4305 31 4407 12 4424 12 4510 6 4529 5 4612 4
d5a82ebebf,1 3231 3233 97 3334 94 3435 92 3536 91 3637 90 3738 89 3839 88 3940 87 4041 86 4142 86 4243 85 4344 84 4445 84 4546 83 4647 82 4748 82 4849 81 4950 80 5051 79 5152 78 5253 76 5354 74 5455 72 5556 70 5657 68 5758 67 5859 65 5960 64 6061 64 6162 63 6263 62 6366 60 6469 58 6571 56 6673 55 6775 53 6877 52 6979 50 7081 49 7182 48 7284 47 7386 45 7487 45 7589 44 7691 42 7792 42 7894 40 7995 40 8096 40 8197 39 8299 38 8400 37 8501 37 8602 37 8703 37 8804 36 8905 36 9007 35 9108 35 9209 35 9310 35 9411 35 9513 34 9614 34 9715 33 9816 33 9917 33 10019 31 10120 31
6d3bb1c3d6,1312 1 1410 5 1508 8 1606 11 1705 13 1802 17 1900 20 1998 23 2096 26 2193 30 2291 33 2388 37 2484 42 2580 47 2678 50 2776 53 2874 56 2969 62 3066 66 3162 71 3257 77 3354 81 3450 86 3543 94 3638 6564
d566980876,
257b9aaf33,8475 6 8483 1 8563 23 8662 25 8761 27 8859 30 8959 31 9058 33 9158 34 9259 34 9360 34 9461 34 9562 34 9663 34 9763 35 9864 35 9965 35 10066 35 10168 34
44e630bf50,1 6968 6970 96 7071 93 7172 91 7273 89 7374 88 7475 86 7576 83 7677 79 7778 76 7879 74 7980 70 8081 66 8182 63 8283 60 8384 55 8485 50 8586 45 8687 40 8788 36 8889 32 8990 27 9091 22 9192 17 9293 12
0366c64dd9,
e1aaf1b487,
c77cf11ee3,6564 1 6661 5 6759 9 6857 12 6956 14 7054 17 7152 20 7249 24 7348 26 7446 29 7545 31 7644 33 7743 35 7841 38 7940 40 8038 40 8136 41 8234 43 8333 44 8432 45 8530 47 8627 50 8724 52 8819 57 8916 60 9014 62 9112 64 9210 66 9309 67 9408 67 9507 68 9606 70 9705 71 9805 71 9905 72 10006 71 10106 72
66d29aed4c,29 73 130 73 230 74 331 74 432 74 532 75 632 76 732 77 832 78 932 79 1033 79 1133 80 1233 81 1333 82 1433 83 1533 84 1633 85 1734 85 1834 86 1935 86 2035 87 2136 87 2236 88 2337 88 2438 88 2538 89 2638 90 2738 91 2838 92 2938 93 3038 94 3139 94 3240 94 3341 94 3442 94 3543 94 3644 94 3745 94 3846 94 3947 94 4048 94 4149 94 4249 95 4350 95 4450 96 4550 97 4650 98 4749 5453
46df24ee51,
dbaa639a96,7278 4 7376 9 7476 11 7577 12 7677 13 7778 14 7879 15 7980 15 8081 15 8182 15 8283 15 8384 15 8485 15 8586 14 8687 14 8788 13 8889 13 8990 13 9091 13 9192 13 9293 13 9394 13 9495 12 9596 12 9697 12 9798 12 9899 12 10000 13 10101 12
7585d90354,1 37 102 39 203 39 304 37 405 38 506 38 607 39 706 1 708 41 799 52 899 54 999 56 1070 42 1113 44 1164 49 1216 45 1263 51 1319 96 1422 94 1526 91 1629 89 1733 86 1836 84 1939 82 2043 79 2146 77 2249 75 2353 72 2456 70 2559 68 2662 66 2765 64 2868 62 2971 60 3074 58 3176 57 3280 54 3384 51 3490 46 3597 40 3707 31 3813 26 3921 5 3927 13 4039 1
8e914b81fe,
b807539a5f,
2777901446,1 75 102 75 203 76 304 76 405 77 506 83 607 84 708 84 809 84 910 84 1011 84 1112 84 1213 85 1314 85 1415 85 1516 85 1617 84 1718 84 1819 83 1920 83 2021 83 2122 84 2223 84 2324 81 2425 81 2526 81 2627 82 2712 3 2728 89 2829 90 2930 91 3031 91 3132 91 3233 92 3334 92 3435 91 3536 91 3637 91 3738 90 3839 90 3940 89 4041 88 4142 86 4243 85 4344 83 4445 82 4546 81 4647 81 4748 80 4849 79 4950 78 5051 77 5152 76 5253 76 5354 75 5455 75 5556 75 5657 49 5710 21 5758 48 5812 19 5859 48 5913 18 5960 48 6013 17 6061 46 6114 15 6162 46 6218 11 6263 45 6322 7 6364 44 6465 43 6566 43 6667 42 6768 42 6869 42 6970 43 7071 43 7172 43 7273 44 7374 45 7475 46 7576 47 7634 6 7677 50 7730 14 7778 68 7879 68 7980 69 8081 70 8182 71 8283 71 8384 71 8485 72 8586 74 8687 76 8788 78 8889 79 8990 81 9091 84 9192 91 9293 92 9394 93 9495 94 9596 94 9697 94 9798 94 9899 92 10000 94 10101 93
2e21ca5ebe,8260 10 8353 24 8448 36 8486 1 8491 26 8538 1664
245c641ba5,
a08783f5fd,
4f738a869e,
cfddb8231f,
3b85447c61,6971 3 7071 7 7172 8 7273 9 7374 10 7475 11 7576 12 7677 12 7778 13 7879 13 7980 14 8081 14 8182 15 8283 15 8384 16 8485 16 8586 17 8687 17 8788 18 8889 18 8990 19 9091 20 9192 21 9293 22 9394 23 9495 23 9596 24 9697 25 9798 25 9899 25 10000 26 10101 25
d9bce92614,
14f73c6c74,1 94 102 95 203 96 304 96 405 96 506 96 607 96 708 96 809 96 910 95 1011 95 1112 95 1213 96 1314 96 1415 96 1516 97 1617 97 1718 97 1819 97 1920 98 2021 99 2122 99 2223 98 2324 98 2425 97 2526 96 2627 96 2728 96 2829 95 2930 94 3031 93 3132 92 3233 91 3334 89 3435 87 3536 85 3637 82 3738 81 3839 79 3940 78 4041 78 4142 77 4243 76 4344 76 4445 74 4546 73 4647 72 4748 70 4849 69 4950 68 5051 66 5152 65 5253 64 5354 62 5455 61 5556 59 5657 58 5758 56 5859 54 5960 52 6061 51 6162 49 6263 46 6364 44 6465 41 6566 40 6667 39 6768 38 6869 38 6970 38 7071 38 7172 38 7273 39 7374 40 7475 41 7576 42 7677 43 7778 44 7879 44 7980 44 8081 44 8182 44 8283 44 8384 45 8485 45 8586 45 8687 45 8788 45 8889 45 8990 45 9091 45 9192 45 9293 45 9394 45 9495 45 9596 45 9697 44 9798 43 9899 41 10000 41 10101 40
a79f8ad5ea,5 97 106 97 207 97 308 97 409 97 510 97 611 97 712 97 813 97 913 98 1014 98 1115 98 1217 97 1318 97 1420 96 1522 95 1623 95 1724 95 1825 95 1926 95 2027 95 2128 95 2228 96 2329 96 2430 96 2532 95 2633 95 2735 94 2836 94 2937 94 3039 93 3140 93 3241 93 3342 93 3443 93 3544 93 3645 93 3746 93 3846 94 3947 94 4048 94 4148 95 4249 95 4349 96 4449 97 4548 99 4648 5554
d5dd97abfb,1 6968 6970 82 7074 68 7180 40 7285 13
f3037afbee,1 2828 2831 99 2933 98 3036 96 3140 93 3243 91 3347 88 3451 85 3555 82 3660 78 3764 75 3868 72 3970 71 4072 70 4173 70 4274 70 4375 70 4476 70 4576 71 4676 72 4775 74 4874 76 4974 77 5072 80 5169 84 5266 88 5364 91 5461 95 5558 4644
93d95729b9,
ed0a59bf6f,6041 4 6054 3 6133 4 6142 5 6151 10 6233 5 6241 22 6312 7 6334 30 6412 8 6435 30 6512 11 6532 2 6535 31 6598 1 6612 13 6629 2 6632 35 6696 11 6710 1 6712 14 6730 38 6796 73 6896 74 6992 2 6996 75 7089 6 7096 76 7189 84 7289 85 7390 85 7490 86 7591 86 7692 86 7792 87 7893 87 7993 88 8093 89 8194 89 8294 90 8394 91 8495 91 8596 91 8696 92 8796 93 8897 93 8998 93 9100 92 9201 92 9303 91 9404 91 9505 91 9606 91 9707 91 9808 91 9909 91 10010 91 10113 89
855363abfa,
9dba372ece,1 3533 3536 98 3637 97 3738 96 3839 95 3940 93 4041 92 4142 91 4243 90 4344 88 4445 86 4546 85 4647 83 4748 82 4849 80 4950 79 5051 78 5152 77 5253 77 5354 76 5455 75 5556 74 5657 73 5758 72 5859 71 5960 70 6061 68 6162 67 6263 66 6364 65 6465 64 6566 62 6667 60 6768 56 6869 54 6970 53 7071 52 7172 51 7273 49 7374 48 7475 46 7576 44 7677 42 7778 40 7879 38 7980 36 8081 34 8182 31 8283 28 8384 26 8485 24 8586 22 8687 19 8788 16 8889 14 8990 13 9091 12 9192 11 9293 10 9394 9 9495 9 9596 8 9697 7 9800 2
2e0ae8fa98,58 44 159 44 259 45 360 45 460 46 560 47 659 49 759 50 859 51 959 52 1060 52 1160 53 1260 54 1360 55 1460 56 1560 57 1660 58 1761 58 1860 60 1960 61 2060 62 2160 63 2259 65 2359 66 2459 67 2558 69 2658 70 2758 71 2858 72 2958 73 3058 74 3158 75 3258 76 3358 77 3458 78 3558 79 3658 80 3758 81 3858 82 3958 83 4058 84 4158 85 4258 86 4358 87 4458 88 4558 89 4657 91 4756 93 4855 95 4953 3734 8690 98 8812 77 8919 71 9024 9 9044 47 9169 23 9275 18 9382 12 9493 2
575fca4e10,1 20 102 21 203 21 304 20 405 20 506 20 607 19 708 18 809 17 910 15 1011 14 1112 13 1213 12 1314 11 1415 10 1516 9 1617 9 1718 8 1819 7 1921 5 2022 3 4042 3 4142 6 4243 7 4344 8 4445 9 4546 9 4647 10 4748 10 4849 10 4950 11 5051 11 5152 11 5253 12 5354 12 5455 13 5556 13 5657 14 5758 14 5859 15 5960 15 6061 15 6162 16 6263 16 6364 17 6465 17 6566 17 6667 17 6768 18 6869 18 6970 18 7071 19 7172 20 7273 21 7374 23 7475 25 7576 26 7677 27 7778 28 7879 29 7980 29 8081 30 8182 30 8283 30 8384 31 8485 31 8586 31 8687 31 8788 32 8889 32 8990 32 9091 32 9192 33 9293 33 9394 33 9495 34 9596 34 9697 34 9798 34 9899 34 10000 35 10101 35
365b34260e,1 7235 7248 2 7260 4 7273 58 7374 46 7475 25 7576 15 7679 6
6a7bf9f1c6,
0a9992ce50,7472 2 7565 11 7660 17 7755 23 7853 26 7952 28 8052 29 8151 31 8250 33 8347 37 8444 41 8540 46 8634 53 8731 57 8825 64 8922 68 9017 74 9115 77 9212 81 9308 86 9406 89 9504 92 9601 96 9698 504
22ca553463,71 31 171 32 271 33 372 33 473 33 573 34 674 34 775 34 876 34 977 34 1077 35 1178 35 1279 35 1379 36 1479 37 1580 37 1680 38 1781 38 1882 38 1982 39 2083 39 2184 39 2284 40 2386 39 2487 39 2589 38 2690 38 2792 37 2894 36 2996 35 3097 35 3198 35 3300 34 3401 34 3501 35 3602 35 3703 35 3805 34 3907 33 4010 31 4112 30 4216 27 4319 25 4423 22 4528 3 4533 13 4637 10 4741 7 4844 4 4948 1
d1dff8de14,1 94 102 95 203 95 304 95 405 95 506 95 607 95 708 94 809 94 910 93 1011 92 1112 92 1213 91 1314 91 1415 90 1516 90 1617 90 1718 89 1819 89 1920 89 2021 88 2122 88 2223 88 2324 88 2425 87 2526 87 2627 87 2728 88 2829 88 2930 88 3031 88 3132 88 3233 89 3334 89 3435 89 3536 89 3637 90 3738 90 3839 90 3940 91 4041 91 4142 92 4243 92 4344 93 4445 93 4546 93 4647 94 4748 94 4849 95 4950 95 5051 96 5152 96 5253 98 5354 1918 7273 99 7374 99 7475 98 7576 98 7677 98 7778 98 7879 98 7980 98 8081 99 8182 100 8283 1919
39d6fbba1b,7 95 107 96 208 96 309 96 410 96 511 96 611 97 712 97 812 98 912 99 1012 100 1113 9089
c4f2c790fb,1 29 102 30 203 30 304 30 405 30 506 30 607 30 708 30 809 30 910 29 1011 28 1112 28 1213 27 1314 25 1415 24 1516 19 1617 12 1718 8 1819 3 1921 1
efc0369a2e,1 46 102 47 203 47 304 47 405 47 506 47 607 47 708 47 809 46 910 46 1011 46 1112 46 1213 46 1314 46 1415 46 1516 46 1617 47 1718 48 1819 48 1920 49 2021 50 2122 51 2223 52 2324 54 2425 55 2526 56 2627 57 2728 58 2829 59 2930 60 3031 61 3132 62 3233 62 3334 63 3435 64 3536 65 3637 66 3738 67 3839 67 3940 68 4041 68 4142 69 4233 4 4243 69 4333 6 4344 70 4433 7 4443 1 4445 70 4533 84 4634 85 4735 86 4836 86 4938 86 5039 87 5141 86 5242 87 5343 88 5444 10 5455 79 5544 7 5554 1 5556 81 5643 8 5657 95 5758 94 5859 94 5960 95 6061 95 6162 94 6263 94 6364 94 6465 94 6566 94 6667 94 6768 94 6869 95 6970 96 7071 96 7172 96 7273 96 7374 96 7475 96 7576 97 7677 97 7778 98 7879 99 7980 2222
ff540c7ca0,
50000fada5,51 51 151 52 252 52 353 52 454 52 555 52 657 51 759 50 861 49 963 48 1065 47 1166 47 1267 47 1368 47 1469 47 1570 47 1670 48 1771 48 1870 50 1970 51 2071 51 2171 52 2271 53 2372 53 2473 53 2574 53 2675 53 2776 53 2878 52 2980 51 3082 50 3184 49 3286 48 3388 47 3489 47 3590 47 3691 47 3792 47 3893 47 3994 47 4094 48 4195 48 4294 50 4393 52 4494 52 4594 53 4695 53 4796 53 4897 53 4998 53 5099 53 5199 54 5300 54 5401 54 5502 54 5603 54 5704 54 5806 53 5907 53 6009 52 6110 52 6211 52 6312 52 6412 53 6513 53 6613 54 6714 54 6815 54 6917 53 7018 53 7119 53 7221 52 7322 52 7424 51 7526 50 7627 50 7729 49 7830 49 7931 49 8031 50 8133 49 8234 49 8335 49 8437 48 8538 48 8638 49 8739 49 8839 50 8939 51 9039 52 9139 53 9239 54 9340 54 9442 53 9543 53 9644 53 9745 53 9846 53 9947 53 10048 53 10150 52
81c4fb6418,
23fb59b591,
6f75868949,34 29 134 31 232 35 333 35 434 35 535 35 637 34 738 34 840 33 942 32 1052 22 1153 22 1256 20 1358 19 1460 19 1563 17 1665 16 1766 17 1867 17 1968 18 2068 20 2105 7 2168 22 2203 11 2224 3 2269 48 2325 5 2371 48 2425 7 2472 50 2524 1 2526 8 2574 52 2627 8 2675 62 2777 62 2878 62 2980 62 3082 61 3184 60 3286 60 3388 59 3489 59 3591 58 3693 56 3794 56 3896 54 3997 54 4098 44 4143 8 4200 43 4244 7 4301 43 4345 2 4402 43 4503 43 4604 43 4705 43 4806 43 4907 43 5008 43 5109 43 5210 43 5311 43 5412 43 5512 44 5613 44 5714 44 5814 45 5915 45 6016 45 6116 46 6217 46 6318 46 6418 47 6519 47 6620 47 6722 46 6823 46 6925 45 7026 45 7127 45 7228 45 7329 45 7429 46 7530 46 7630 47 7730 48 7830 49 7931 49 8031 50 8132 50 8232 51 8333 51 8433 52 8534 52 8634 53 8734 54 8835 54 8935 55 9035 56 9134 58 9233 60 9334 60 9434 61 9535 61 9635 62 9735 63 9835 64 9936 64 10036 65 10138 64
83aaa6313e,93 9 192 11 293 11 394 11 495 11 596 11 698 10 800 9 902 8 1005 1 1009 2 4847 1 4946 4 5045 6 5144 8 5243 10 5342 12 5441 14 5540 16 5639 18 5739 19 5839 20 5938 22 6038 23 6139 23 6239 24 6340 24 6440 25 6541 25 6642 25 6743 25 6844 25 6946 24 7047 24 7148 24 7249 24 7350 24 7451 24 7551 25 7651 26 7751 27 7851 28 7951 29 8051 30 8151 31 8251 32 8352 32 8452 33 8552 34 8652 35 8752 36 8851 38 8950 40 9050 41 9150 42 9251 42 9351 43 9452 43 9553 43 9654 43 9755 43 9856 43 9957 43 10058 43 10160 42
8ffef526e0,1 2827 2829 99 2930 98 3031 96 3132 96 3233 96 3334 95 3435 95 3536 95 3637 95 3738 95 3839 95 3940 94 4041 94 4142 94 4243 94 4344 94 4445 93 4546 93 4647 93 4748 93 4849 93 4950 93 5051 93 5152 93 5253 93 5354 93 5455 93 5556 92 5657 92 5758 92 5859 92 5960 92 6061 91 6162 91 6263 91 6364 90 6465 90 6566 90 6667 89 6768 89 6869 88 6970 88 7071 87 7172 87 7273 86 7374 86 7475 86 7576 85 7677 84 7778 84 7879 83 7980 82 8081 82 8182 81 8283 80 8384 79 8485 78 8586 77 8687 76 8788 75 8889 74 8990 73 9091 72 9192 70 9293 69 9394 68 9495 68 9596 67 9697 66 9798 65 9899 64 10000 64 10101 63
cbd1b23efc,1 4847 4849 98 4948 1 4950 97 5051 96 5152 96 5253 94 5354 92 5455 87 5556 86 5657 85 5758 84 5859 83 5960 82 6061 74 6137 6 6162 72 6239 3 6263 57 6328 6 6364 55 6431 3 6465 53 6566 50 6667 48 6768 46 6869 45 6970 44 7071 43 7172 41 7273 40 7374 39 7475 38 7576 37 7677 36 7778 34 7879 32 7980 27 8082 17 8189 7
b3b3e761fe,5939 20 6027 34 6120 42 6207 56 6298 66 6395 70 6492 74 6593 74 6693 75 6794 75 6895 75 6996 75 7098 74 7200 73 7302 72 7408 67 7512 64 7615 62 7718 60 7822 57 7925 55 8028 53 8131 51 8236 47 8341 43 8452 33 8559 27 8665 22 8770 18 8877 12 8981 9
1c51a79860,
